trial #,role,code,restaurant features code,,,
1,assistant,OTH,"AMB, TYP, PKG, PR, PIC, RVT, MNU, RTN, RVW",,,
1,seeker,"IQ, PCT, PCT, PP, PCT, PP",,,,
1,assistant,"ACK, RI",,,,
1,seeker,"ANS, PCT",,,,
1,assistant,"ACK, RS, PER, EAI, EAI, EP, EP,  PCN, EP,  EAI, EAI",,,,
1,seeker,"INQ, RP, INQ",,,,
1,assistant,"ANS, EAI, PCN",,,,
1,seeker,OTH,,,,
1,assistant,ACK,,,,
1,seeker,"OTH, INQ",,,,
1,assistant,ANS,,,,
1,seeker,INQ,,,,
1,assistant,"ANS, IP, EAI, EP, EAI",,,,
1,seeker,RP,,,,
1,assistant,CQ,,,,
1,seeker,ANS,,,,
1,assistant,ANS,,,,
1,seeker,"ACK, INQ",,,,
1,assistant,"ANS, EAI",,,,
1,seeker,"ACK, CON",,,,
1,assistant,"PER, IP, AO, PER, PCN",,,,
1,seeker,ANS,,,,
1,assistant,RI,,,,
1,seeker,"PCT, PP",,,,
1,assistant,ACK,,,,
1,seeker,PP,,,,
1,assistant,"ACK, IP, EAI, PCM, EAI, PCN, PCN, IP, RS, EAI, EAI, PER, EAI",,,,
1,seeker,INQ,,,,
1,assistant,"ANS, EAI",,,,
1,seeker,INQ,,,,
1,assistant,ANS,,,,
1,seeker,INQ,,,,
1,assistant,ANS,,,,
1,seeker,"ACK, INQ",,,,
1,assistant,"ANS, PEX",,,,
1,seeker,"ACK, INQ",,,,
1,assistant,ANS,,,,
1,seeker,INQ,,,,
1,assistant,"ACK, ANS",,,,
1,seeker,INQ,,,,
1,assistant,CQ,,,,
1,seeker,ANS,,,,
1,assistant,"IP, ANS, PCN, IP",,,,
1,seeker,INQ,,,,
1,assistant,ACK,,,,
1,seeker,RP,,,,
1,assistant,"ANS, EAI, EAI, PCN, PEX",,,,
1,seeker,ACK,,,,
1,assistant,ACK,,,,
1,seeker,CC,,,,
1,assistant,"ANS, EAI",,,,
1,seeker,"ACK, ACT",,,,
1,assistant,EAI,,,,
1,seeker,ACK,,,,
1,assistant,"ACK, PCM, PER",,,,
1,seeker,"ACT, ACT, INQ",,,,
1,assistant,"ACK, ANS, AO",,,,
1,seeker,INQ,,,,
1,assistant,ANS,,,,
1,seeker,"ACK, OTH",,,,
1,assistant,OTH,,,,
1,seeker,OTH,,,,
1,assistant,EF,,,,
1,seeker,OTH,,,,
2,assistant,OTH,"TM, TYP, PR, CUT, LOC, MNU",,,
2,seeker,"IQ, PCT, PP, PP",,,,
2,assistant,RI,,,,
2,seeker,"ANS, PP",,,,
2,assistant,"ACK, AO",,,,
2,seeker,ANS,,,,
2,assistant,"ACK, RS, RI",,,,
2,seeker,"ACK, PP",,,,
2,assistant,"ACK, RI",,,,
2,seeker,ANS,,,,
2,assistant,"ACK, RS, EAI, EAI",,,,
2,seeker,ACK,,,,
2,assistant,"EAI, EAI",,,,
2,seeker,OTH,,,,
2,assistant,OTH,,,,
2,seeker,INQ,,,,
2,assistant,"ANS, PER, ANS, PER",,,,
2,seeker,"ACK, INQ",,,,
2,assistant,CQ,,,,
2,seeker,ANS,,,,
2,assistant,ANS,,,,
2,seeker,INQ,,,,
2,assistant,ANS,,,,
2,seeker,"ACK, ACT, OTH",,,,
2,assistant,"ACK, EF",,,,
2,seeker,OTH,,,,
2,assistant,OTH,,,,
2,seeker,OTH,,,,
3,assistant,OTH,"TM, LOC, CUT, PR, PKG, WT, MNU",,,
3,seeker,"PCT, IQ, PP, PP, PP, PP",,,,
3,assistant,"IP, CQ",,,,
3,seeker,ANS,,,,
3,assistant,"IP, EP, RS, EP, EP",,,,
3,seeker,ACK,,,,
3,assistant,PER,,,,
3,seeker,ACK,,,,
3,assistant,"EP, RS",,,,
3,seeker,ACK,,,,
3,assistant,"EP, PER",,,,
3,seeker,ACK,,,,
3,assistant,AO,,,,
3,seeker,"ACK, CA",,,,
3,assistant,ANS,,,,
3,seeker,ACK,,,,
3,assistant,EAI,,,,
3,seeker,"ACK, OTH, RP",,,,
3,assistant,"IP, PEX, EAI",,,,
3,seeker,ACK,,,,
3,assistant,PCM,,,,
